Incident_ID,Date,State,City,Region,Attack_Type,Target_System,Industry,Severity,Affected_Users,Data_Compromised_GB,Financial_Loss_INR,Response_Time_Minutes,Attack_Source,Outcome,Mitigation_Method,CERT_Status,Risk_Score,DateParsed,Severity_Score,Risk_Band,SLA_Threshold_Min,SLA_Met,Country,State_Incident_Count,State_Avg_Risk,State_Avg_Response,State_HighCritical_Pct,Hotspot_Cluster,Hotspot_Cluster_Name
INC000011,28-07-2020,Andhra Pradesh,Visakhapatnam,South,Zero-Day Exploit,Network,IT,Critical,4405,25.82,10705154,547,External,Successful,Emergency Patch,Open,84,28-07-2020,90,Critical,240,Missed,India,275,67.46181818,217.3454545,66.90909091,A,Low-volume hotspot
INC000012,29-08-2022,West Bengal,Kolkata,East,Ransomware,Web App,Manufacturing,Critical,3827,158.51,10828230,548,External,Under Investigation,Backup Recovery,Open,89,29-08-2022,90,Critical,240,Missed,India,399,67.28571429,228.0576441,67.1679198,B,Medium-volume hotspot
INC000013,23-11-2022,Maharashtra,Mumbai,West,Data Breach,Cloud Server,Education,Critical,1210,172.67,18905886,594,Internal,Successful,Encryption,Escalated,96,23-11-2022,90,Critical,240,Missed,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000014,27-07-2023,West Bengal,Kolkata,East,Insider Threat,Network,Healthcare,High,1971,204.67,2491898,147,Internal,Under Investigation,Access Revocation,Escalated,66,27-07-2023,70,High,240,Met,India,399,67.28571429,228.0576441,67.1679198,B,Medium-volume hotspot
INC000015,31-01-2021,Tamil Nadu,New Delhi,South,Phishing,Cloud Server,Education,Low,2997,20.59,41623,20,Internal,Mitigated,Password Reset,Closed,35,31-01-2021,25,Low,240,Met,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000016,02-05-2025,Karnataka,Mysuru,South,DDoS,API,Government,High,992,227.49,4776167,90,Internal,Under Investigation,Firewall Rules,Open,80,02-05-2025,70,Critical,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000017,24-01-2024,Tamil Nadu,Chennai,South,Data Breach,Database,IT,High,235,158.51,2942637,192,External,Successful,Encryption,Escalated,73,24-01-2024,70,High,240,Met,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000018,13-02-2020,West Bengal,Kolkata,East,Zero-Day Exploit,API,Government,Critical,4323,187.5,100614,520,Internal,Successful,Emergency Patch,Open,64,13-02-2020,90,High,240,Missed,India,399,67.28571429,228.0576441,67.1679198,B,Medium-volume hotspot
INC000019,13-04-2024,West Bengal,Siliguri,East,DDoS,Email Server,Retail,High,1083,158.51,1892464,164,External,Successful,Firewall Rules,Escalated,69,13-04-2024,70,High,240,Met,India,399,67.28571429,228.0576441,67.1679198,B,Medium-volume hotspot
INC000020,22-11-2024,Delhi,New Delhi,North,Ransomware,Database,Banking,Critical,1237,158.51,7547392,508,External,Successful,Backup Recovery,Escalated,98,22-11-2024,90,Critical,240,Missed,India,513,68.31968811,223.5048733,68.42105263,B,Medium-volume hotspot
INC000021,21-07-2021,Maharashtra,New Delhi,West,Zero-Day Exploit,Web App,Telecom,Critical,4611,7.45,5953325,367,Internal,Successful,Emergency Patch,Escalated,98,21-07-2021,90,Critical,240,Missed,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000022,11-05-2022,Delhi,New Delhi,North,DDoS,API,Telecom,High,4593,223.24,3131362,226,Internal,Under Investigation,Firewall Rules,Open,75,11-05-2022,70,High,240,Met,India,513,68.31968811,223.5048733,68.42105263,B,Medium-volume hotspot
INC000023,27-05-2022,Telangana,Hyderabad,South,Ransomware,Database,Telecom,Critical,1012,224.31,6217122,165,Internal,Successful,Backup Recovery,Open,91,27-05-2022,90,Critical,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000024,17-12-2024,Karnataka,Mysuru,South,SQL Injection,Database,Healthcare,High,1332,176.73,4131812,114,External,Under Investigation,Patch Management,Closed,68,17-12-2024,70,High,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000025,21-06-2022,Karnataka,Bengaluru,South,Data Breach,Cloud Server,Education,High,4248,156.17,1081718,176,Internal,Under Investigation,Encryption,Open,72,21-06-2022,70,High,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000026,07-07-2021,Andhra Pradesh,Visakhapatnam,South,Malware,Cloud Server,Telecom,Medium,3335,37.77,385130,32,External,Blocked,EDR Isolation,Open,44,07-07-2021,50,Medium,240,Met,India,275,67.46181818,217.3454545,66.90909091,A,Low-volume hotspot
INC000027,29-06-2024,Karnataka,Mysuru,South,SQL Injection,Web App,Healthcare,High,555,66.48,2127947,94,Internal,Successful,Patch Management,Open,63,29-06-2024,70,High,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000028,04-05-2025,Telangana,Hyderabad,South,Ransomware,Database,Telecom,Critical,422,45.7,7168033,262,External,Successful,Backup Recovery,Escalated,100,04-05-2025,90,Critical,240,Missed,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000029,12-11-2021,Uttar Pradesh,Lucknow,North,Insider Threat,Email Server,Banking,High,135,5.1,3819232,135,Internal,Under Investigation,Access Revocation,Open,77,12-11-2021,70,High,240,Met,India,449,68.56124722,225.2895323,68.15144766,B,Medium-volume hotspot
INC000030,06-10-2025,Kerala,Thiruvananthapuram,South,Malware,API,Healthcare,Medium,1890,86,619047,64,Internal,Successful,EDR Isolation,Closed,57,06-10-2025,50,Medium,240,Met,India,329,67.17933131,221.0911854,65.34954407,A,Low-volume hotspot
INC000031,06-01-2022,Andhra Pradesh,Visakhapatnam,South,SQL Injection,Web App,Government,Medium,3130,217.7,755831,77,External,Mitigated,Patch Management,Escalated,38,06-01-2022,50,Low,240,Met,India,275,67.46181818,217.3454545,66.90909091,A,Low-volume hotspot
INC000032,23-06-2021,Karnataka,Mysuru,South,Zero-Day Exploit,Email Server,Education,Critical,2012,9.09,9513687,468,External,Successful,Emergency Patch,Closed,86,23-06-2021,90,Critical,240,Missed,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000033,23-05-2021,Karnataka,New Delhi,South,Data Breach,Web App,Telecom,Critical,745,36.39,12963199,382,Internal,Successful,Encryption,Open,83,23-05-2021,90,Critical,240,Missed,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000034,14-04-2024,Karnataka,Mysuru,South,DDoS,API,Telecom,High,1234,71.4,3219582,129,Internal,Successful,Firewall Rules,Escalated,79,14-04-2024,70,High,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000035,19-08-2024,Kerala,Kochi,South,Ransomware,Web App,Banking,Critical,352,33.71,17631015,498,External,Successful,Backup Recovery,Closed,97,19-08-2024,90,Critical,240,Missed,India,329,67.17933131,221.0911854,65.34954407,A,Low-volume hotspot
INC000036,29-09-2022,West Bengal,New Delhi,East,Phishing,Web App,Manufacturing,Low,584,187.19,74657,26,Internal,Blocked,Password Reset,Escalated,30,29-09-2022,25,Low,240,Met,India,399,67.28571429,228.0576441,67.1679198,B,Medium-volume hotspot
INC000037,24-02-2024,Gujarat,Surat,West,Insider Threat,Cloud Server,Retail,High,638,120.01,1984763,142,External,Successful,Access Revocation,Escalated,69,24-02-2024,70,High,240,Met,India,494,68.18623482,219.9008097,69.43319838,B,Medium-volume hotspot
INC000038,27-08-2023,Delhi,New Delhi,North,DDoS,Network,IT,High,112,120.86,1618346,174,External,Under Investigation,Firewall Rules,Escalated,80,27-08-2023,70,Critical,240,Met,India,513,68.31968811,223.5048733,68.42105263,B,Medium-volume hotspot
INC000039,08-09-2022,Maharashtra,Pune,West,DDoS,Cloud Server,Government,High,4508,50.21,3973221,222,Internal,Under Investigation,Firewall Rules,Open,70,08-09-2022,70,High,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000040,06-01-2020,Karnataka,Bengaluru,South,Malware,Database,Telecom,Medium,2955,33.58,505640,43,External,Blocked,EDR Isolation,Escalated,44,06-01-2020,50,Medium,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000041,29-04-2025,Telangana,Warangal,South,Zero-Day Exploit,Cloud Server,Telecom,Critical,3331,75.84,5416653,321,Internal,Successful,Emergency Patch,Closed,93,29-04-2025,90,Critical,240,Missed,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000042,14-09-2024,Telangana,Warangal,South,Malware,Web App,Healthcare,Medium,106,225.44,440313,78,External,Mitigated,EDR Isolation,Closed,36,14-09-2024,50,Low,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000043,15-10-2024,Maharashtra,Mumbai,West,Ransomware,Email Server,Government,Critical,918,208.75,12181534,626,External,Under Investigation,Backup Recovery,Open,92,15-10-2024,90,Critical,240,Missed,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000044,15-12-2024,Andhra Pradesh,Visakhapatnam,South,Ransomware,API,Retail,Critical,4549,137.53,17971869,165,Internal,Under Investigation,Backup Recovery,Escalated,87,15-12-2024,90,Critical,240,Met,India,275,67.46181818,217.3454545,66.90909091,A,Low-volume hotspot
INC000045,15-12-2020,Telangana,Warangal,South,SQL Injection,Cloud Server,Education,High,2318,74.79,1205425,230,External,Successful,Patch Management,Escalated,76,15-12-2020,70,High,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000046,06-02-2020,Karnataka,Bengaluru,South,Zero-Day Exploit,Network,Manufacturing,Critical,4518,55.4,7807373,569,External,Successful,Emergency Patch,Closed,84,06-02-2020,90,Critical,240,Missed,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000047,15-10-2021,Maharashtra,Mumbai,West,DDoS,Email Server,Telecom,High,4676,50.93,1732725,177,Internal,Successful,Firewall Rules,Closed,63,15-10-2021,70,High,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000048,22-07-2021,Telangana,Warangal,South,DDoS,Database,Healthcare,High,768,68.12,2418527,105,Internal,Successful,Firewall Rules,Closed,69,22-07-2021,70,High,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000049,24-12-2023,Delhi,New Delhi,North,Ransomware,Network,Manufacturing,Critical,11,18.75,7134851,256,External,Under Investigation,Backup Recovery,Open,81,24-12-2023,90,Critical,240,Missed,India,513,68.31968811,223.5048733,68.42105263,B,Medium-volume hotspot
INC000050,23-06-2020,Uttar Pradesh,Lucknow,North,DDoS,Web App,IT,High,1915,142.56,100614,117,Internal,Under Investigation,Firewall Rules,Open,65,23-06-2020,70,High,240,Met,India,449,68.56124722,225.2895323,68.15144766,B,Medium-volume hotspot
INC000051,03-05-2022,Delhi,New Delhi,South,Ransomware,Database,Banking,Critical,95,134.6,6180310,393,External,Successful,Backup Recovery,Closed,84,03-05-2022,90,Critical,240,Missed,India,513,68.31968811,223.5048733,68.42105263,B,Medium-volume hotspot
INC000052,29-02-2020,Delhi,New Delhi,North,DDoS,API,Telecom,High,463,5.94,1984689,230,External,Successful,Emergency Patch,Open,77,29-02-2020,70,High,240,Met,India,513,68.31968811,223.5048733,68.42105263,B,Medium-volume hotspot
INC000053,01-11-2024,Karnataka,Mysuru,South,Ransomware,Email Server,Retail,Critical,1632,2.18,13270219,257,External,Under Investigation,Backup Recovery,Open,88,01-11-2024,90,Critical,240,Missed,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000054,26-06-2021,Tamil Nadu,Coimbatore,South,DDoS,Web App,Manufacturing,High,1544,224.17,1968083,209,External,Successful,Firewall Rules,Escalated,67,26-06-2021,70,High,240,Met,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000055,30-04-2022,Maharashtra,Mumbai,West,SQL Injection,API,Banking,High,1518,98.63,1893174,96,External,Successful,Patch Management,Open,62,30-04-2022,70,High,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000056,03-06-2020,Kerala,Thiruvananthapuram,South,Data Breach,API,Retail,High,3072,246.25,3736651,224,External,Successful,Encryption,Open,66,03-06-2020,70,High,240,Met,India,329,67.17933131,221.0911854,65.34954407,A,Low-volume hotspot
INC000057,17-02-2022,Maharashtra,Pune,West,Insider Threat,Email Server,Retail,High,728,12.79,2762376,121,External,Successful,Access Revocation,Closed,72,17-02-2022,70,High,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000058,03-03-2020,Tamil Nadu,Coimbatore,South,Zero-Day Exploit,Database,Retail,Critical,343,94.2,11111082,617,External,Under Investigation,Emergency Patch,Open,91,03-03-2020,90,Critical,240,Missed,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000059,20-06-2021,Karnataka,Mysuru,South,Malware,Email Server,Telecom,Medium,40,180.53,385543,51,Internal,Blocked,EDR Isolation,Open,47,20-06-2021,50,Medium,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000060,28-09-2020,Maharashtra,Pune,West,Zero-Day Exploit,Database,Banking,Critical,2494,205.78,12213165,657,Internal,Under Investigation,Emergency Patch,Closed,89,28-09-2020,90,Critical,240,Missed,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000061,13-04-2022,West Bengal,Kolkata,East,Zero-Day Exploit,Database,Retail,Critical,540,162.56,6325650,502,External,Successful,Emergency Patch,Open,100,13-04-2022,90,Critical,240,Missed,India,399,67.28571429,228.0576441,67.1679198,B,Medium-volume hotspot
INC000062,16-07-2020,Andhra Pradesh,Vijayawada,South,Malware,Cloud Server,Manufacturing,Medium,1428,158.51,754943,35,External,Blocked,EDR Isolation,Escalated,44,16-07-2020,50,Medium,240,Met,India,275,67.46181818,217.3454545,66.90909091,A,Low-volume hotspot
INC000063,02-02-2022,Kerala,Thiruvananthapuram,South,DDoS,API,Telecom,High,1641,110.13,100614,161,Internal,Under Investigation,Firewall Rules,Open,70,02-02-2022,70,High,240,Met,India,329,67.17933131,221.0911854,65.34954407,A,Low-volume hotspot
INC000064,11-05-2022,Maharashtra,Mumbai,West,DDoS,API,Government,High,3810,247.74,2661237,154,Internal,Successful,Firewall Rules,Closed,63,11-05-2022,70,High,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000065,01-09-2020,West Bengal,Kolkata,East,DDoS,Database,Healthcare,High,625,93.37,1169290,165,Internal,Successful,Firewall Rules,Escalated,72,01-09-2020,70,High,240,Met,India,399,67.28571429,228.0576441,67.1679198,B,Medium-volume hotspot
INC000066,21-03-2021,Karnataka,Bengaluru,South,Phishing,Email Server,Education,Low,1168,11.52,83138,27,External,Mitigated,Password Reset,Escalated,30,21-03-2021,25,Low,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000067,25-06-2023,Gujarat,Surat,West,DDoS,Web App,Healthcare,High,267,198.92,2715449,185,External,Successful,Firewall Rules,Closed,71,25-06-2023,70,High,240,Met,India,494,68.18623482,219.9008097,69.43319838,B,Medium-volume hotspot
INC000068,25-03-2022,Maharashtra,Pune,West,Ransomware,Cloud Server,Telecom,Critical,2529,104.75,6529287,574,Internal,Successful,Backup Recovery,Escalated,98,25-03-2022,90,Critical,240,Missed,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000069,08-12-2023,Delhi,New Delhi,North,Data Breach,Cloud Server,Retail,Critical,1678,235.53,5305567,682,External,Under Investigation,Encryption,Closed,94,08-12-2023,90,Critical,240,Missed,India,513,68.31968811,223.5048733,68.42105263,B,Medium-volume hotspot
INC000070,23-09-2020,Maharashtra,Mumbai,West,Malware,Web App,IT,Medium,3259,158.51,482445,59,External,Blocked,EDR Isolation,Open,54,23-09-2020,50,Medium,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000071,23-03-2024,Telangana,Hyderabad,South,SQL Injection,Email Server,IT,Medium,366,158.51,214078,54,External,Mitigated,Patch Management,Open,38,23-03-2024,50,Low,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000072,08-04-2023,Delhi,New Delhi,North,Ransomware,Network,Retail,Critical,1616,207.38,16546358,662,Internal,Successful,Backup Recovery,Open,100,08-04-2023,90,Critical,240,Missed,India,513,68.31968811,223.5048733,68.42105263,B,Medium-volume hotspot
INC000073,10-06-2025,Telangana,Hyderabad,South,SQL Injection,Web App,Banking,High,2665,29.87,1516138,128,External,Successful,Patch Management,Escalated,72,10-06-2025,70,High,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000074,28-10-2022,Telangana,Warangal,South,DDoS,Database,Banking,High,38,154.91,3763387,184,External,Under Investigation,Firewall Rules,Open,73,28-10-2022,70,High,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000075,20-09-2020,Tamil Nadu,Coimbatore,South,Zero-Day Exploit,Cloud Server,Education,Critical,761,200.67,100614,165,Internal,Successful,Emergency Patch,Escalated,96,20-09-2020,90,Critical,240,Met,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000076,29-08-2023,Maharashtra,Mumbai,West,Data Breach,Web App,Government,High,907,48.83,4154364,219,External,Under Investigation,Encryption,Open,62,29-08-2023,70,High,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000077,25-10-2021,Gujarat,Surat,West,DDoS,Cloud Server,IT,High,2092,125.8,3560391,154,External,Successful,Firewall Rules,Escalated,72,25-10-2021,70,High,240,Met,India,494,68.18623482,219.9008097,69.43319838,B,Medium-volume hotspot
INC000078,04-06-2022,Karnataka,Bengaluru,South,DDoS,API,Telecom,High,2695,223.91,1154490,140,Internal,Successful,Firewall Rules,Escalated,72,04-06-2022,70,High,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000079,31-05-2021,Uttar Pradesh,Noida,North,Phishing,API,Education,Medium,2178,94.25,682149,63,External,Blocked,Password Reset,Closed,64,31-05-2021,50,High,240,Met,India,449,68.56124722,225.2895323,68.15144766,B,Medium-volume hotspot
INC000080,29-08-2021,Telangana,Warangal,South,Malware,Email Server,Education,Medium,24,186.91,100614,69,Internal,Blocked,EDR Isolation,Closed,43,29-08-2021,50,Medium,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000081,27-09-2020,Delhi,New Delhi,North,Ransomware,Database,Banking,Critical,192,14.07,11108568,698,External,Successful,Backup Recovery,Open,97,27-09-2020,90,Critical,240,Missed,India,513,68.31968811,223.5048733,68.42105263,B,Medium-volume hotspot
INC000082,22-02-2021,Tamil Nadu,Coimbatore,South,DDoS,Network,Manufacturing,High,1309,34.12,2263136,240,Internal,Successful,Emergency Patch,Closed,79,22-02-2021,70,High,240,Met,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000083,24-04-2020,Maharashtra,Pune,West,SQL Injection,Network,Manufacturing,High,4940,234.32,4403974,157,External,Successful,Patch Management,Open,73,24-04-2020,70,High,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000084,05-01-2021,Kerala,Kochi,South,Phishing,Web App,Government,Low,111,153.35,8306,17,Internal,Blocked,Password Reset,Closed,27,05-01-2021,25,Low,240,Met,India,329,67.17933131,221.0911854,65.34954407,A,Low-volume hotspot
INC000085,07-05-2023,Karnataka,Bengaluru,South,Ransomware,API,Manufacturing,Critical,4420,2.08,10190577,272,External,Under Investigation,Backup Recovery,Open,97,07-05-2023,90,Critical,240,Missed,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000086,08-11-2023,Uttar Pradesh,Lucknow,North,Zero-Day Exploit,Web App,Education,Critical,2166,178.07,6766334,373,External,Successful,Emergency Patch,Escalated,88,08-11-2023,90,Critical,240,Missed,India,449,68.56124722,225.2895323,68.15144766,B,Medium-volume hotspot
INC000087,13-12-2020,Uttar Pradesh,Noida,North,Insider Threat,Database,Healthcare,High,1314,186.66,1358283,219,External,Successful,Access Revocation,Closed,67,13-12-2020,70,High,240,Met,India,449,68.56124722,225.2895323,68.15144766,B,Medium-volume hotspot
INC000088,22-10-2024,Telangana,Hyderabad,South,DDoS,Cloud Server,Healthcare,High,4682,221.25,2969197,210,Internal,Successful,Firewall Rules,Escalated,78,22-10-2024,70,High,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000089,27-06-2023,Delhi,New Delhi,North,SQL Injection,Email Server,IT,Medium,245,8.2,128210,37,Internal,Blocked,Patch Management,Escalated,37,27-06-2023,50,Low,240,Met,India,513,68.31968811,223.5048733,68.42105263,B,Medium-volume hotspot
INC000090,12-06-2024,Maharashtra,Pune,West,Phishing,Web App,Healthcare,Low,1695,51.19,52632,11,Internal,Blocked,Password Reset,Escalated,28,12-06-2024,25,Low,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000091,26-08-2021,Maharashtra,Pune,West,Insider Threat,Email Server,Retail,High,2149,5.72,1556391,115,External,Successful,Access Revocation,Open,64,26-08-2021,70,High,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000092,20-06-2023,Gujarat,New Delhi,West,Data Breach,Cloud Server,Banking,Critical,3585,129.9,13451310,483,Internal,Successful,Encryption,Closed,100,20-06-2023,90,Critical,240,Missed,India,494,68.18623482,219.9008097,69.43319838,B,Medium-volume hotspot
INC000093,06-12-2022,Gujarat,Ahmedabad,West,DDoS,Network,Healthcare,High,2372,190.66,4438538,163,Internal,Successful,Firewall Rules,Closed,64,06-12-2022,70,High,240,Met,India,494,68.18623482,219.9008097,69.43319838,B,Medium-volume hotspot
INC000094,29-03-2023,Tamil Nadu,Chennai,South,Zero-Day Exploit,Email Server,Healthcare,Critical,1906,124.83,14941421,417,Internal,Under Investigation,Emergency Patch,Closed,96,29-03-2023,90,Critical,240,Missed,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000095,31-12-2024,Uttar Pradesh,Lucknow,North,Malware,Cloud Server,Banking,Medium,3057,51.93,199771,55,External,Mitigated,EDR Isolation,Escalated,47,31-12-2024,50,Medium,240,Met,India,449,68.56124722,225.2895323,68.15144766,B,Medium-volume hotspot
INC000096,14-12-2021,Tamil Nadu,Coimbatore,South,Ransomware,Network,IT,Critical,3698,165.69,7128702,512,External,Successful,Backup Recovery,Closed,95,14-12-2021,90,Critical,240,Missed,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000097,11-05-2022,Tamil Nadu,Chennai,South,Insider Threat,Email Server,Telecom,High,1276,180.97,2401123,208,Internal,Successful,Access Revocation,Escalated,65,11-05-2022,70,High,240,Met,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000098,12-03-2020,Tamil Nadu,Chennai,South,SQL Injection,Database,Retail,Medium,1246,245.97,298468,46,External,Blocked,Patch Management,Closed,46,12-03-2020,50,Medium,240,Met,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000099,08-08-2022,Karnataka,Bengaluru,South,Malware,Web App,Retail,Medium,3586,173.51,316473,86,External,Mitigated,EDR Isolation,Open,44,08-08-2022,50,Medium,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000100,28-09-2024,Maharashtra,Mumbai,West,Ransomware,API,Healthcare,Critical,1496,160.56,19309142,460,External,Under Investigation,Backup Recovery,Closed,88,28-09-2024,90,Critical,240,Missed,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000101,27-05-2021,Karnataka,Mysuru,South,Malware,Cloud Server,Manufacturing,Medium,918,155.58,920383,55,External,Blocked,Emergency Patch,Escalated,43,27-05-2021,50,Medium,240,Met,India,769,68.6579974,228.3302991,71.39141743,C,High-volume hotspot
INC000102,17-01-2023,Telangana,Hyderabad,South,Phishing,Database,Healthcare,Medium,918,87.38,211548,32,External,Mitigated,Password Reset,Escalated,51,17-01-2023,50,Medium,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000103,03-06-2021,Tamil Nadu,Chennai,South,Phishing,Cloud Server,Government,Medium,2922,159.57,459507,56,External,Mitigated,MFA,Closed,52,03-06-2021,50,Medium,240,Met,India,631,67.6703645,231.3359746,66.24405705,B,Medium-volume hotspot
INC000104,04-03-2023,Telangana,Warangal,South,Phishing,Web App,Healthcare,Low,2496,185.5,60121,25,Internal,Mitigated,MFA,Closed,23,04-03-2023,25,Low,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
